Time,"Temp:Edge,0","Temp:Tctl,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11
2025-06-26_16:52:54,32.0,36.8,2959.7,2959.8,2959.8,2959.7,2959.9,2959.9,2959.9,2959.8,2959.8,2959.9,2959.8,2959.9,2959.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:52:56,33.0,36.8,2957.4,2957.2,2957.2,2957.2,2957.2,2957.1,2957.2,2957.2,2955.7,2957.2,2957.2,2957.2,2957.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:52:58,33.0,36.8,2958.0,2956.8,2956.8,2956.8,2956.9,2956.8,2956.8,2956.9,2956.6,2956.9,2956.8,2956.8,2956.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:00,33.0,36.9,2957.2,2956.8,2956.7,2956.8,2956.8,2956.8,2956.8,2956.8,2956.6,2956.7,2956.8,2956.8,2956.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:02,32.0,36.9,2956.5,2956.4,2956.4,2956.4,2956.4,2956.4,2956.5,2956.4,2956.3,2956.4,2956.4,2956.4,2956.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:04,33.0,36.9,2959.6,2959.7,2957.5,2959.7,2959.7,2959.7,2959.7,2959.7,2959.8,2959.7,2959.7,2959.8,2959.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:06,33.0,36.9,2958.6,2958.8,2956.9,2958.8,2958.8,2958.8,2958.8,2958.8,2958.8,2958.8,2958.8,2958.8,2958.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:08,32.0,37.0,2960.2,2959.4,2959.2,2959.4,2959.4,2959.4,2959.4,2959.4,2959.4,2959.4,2959.4,2959.4,2959.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:10,33.0,37.0,2958.2,2958.0,2957.8,2957.9,2957.9,2958.0,2958.0,2958.0,2958.0,2957.9,2957.9,2958.0,2957.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:12,33.0,37.0,2968.9,2959.8,2959.5,2959.8,2959.8,2959.8,2959.7,2959.8,2959.6,2959.8,2959.8,2959.7,2959.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:14,33.0,37.1,2957.9,2957.9,2957.7,2957.8,2958.0,2957.9,2957.8,2958.0,2957.8,2958.0,2957.9,2957.9,2957.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:16,32.0,37.1,2959.1,2959.4,2956.6,2959.4,2959.4,2959.4,2959.3,2959.4,2959.4,2959.4,2959.4,2959.3,2959.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:18,33.0,37.1,2959.0,2958.8,2956.7,2958.8,2958.7,2958.8,2958.8,2958.8,2958.8,2958.8,2958.8,2958.8,2958.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-06-26_16:53:20,32.0,37.1,2958.1,2957.8,2957.2,2957.8,2957.8,2957.8,2957.8,2957.9,2957.8,2957.8,2957.8,2957.8,2957.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
