Time,CPU_Total,Memory_Used_GB,Disk_Read_MB,Disk_Write_MB,Net_Sent_MB,Net_Recv_MB
1749653127,7.6,1.8554916381835938,2.0625,0.0,0.014814376831054688,0.022637367248535156
1749653128,2.1,1.9032821655273438,0.0,0.0,0.0,0.0
1749653129,0.9,1.9073410034179688,0.0,0.0,0.0,0.00011444091796875
1749653130,0.9,1.9134101867675781,0.0,0.0,0.0,0.000171661376953125
1749653131,1.0,1.91461181640625,0.0,0.0,0.0,0.0022182464599609375
1749653132,1.0,1.9020652770996094,0.0,0.0234375,0.0,0.0035190582275390625
1749653133,0.8,1.9015846252441406,0.0,0.0,0.0,0.00037670135498046875
1749653134,0.9,1.9011039733886719,0.0,0.0,0.0,0.00078582763671875
1749653135,1.0,1.9011001586914062,0.0,0.0,0.0,0.0002422332763671875
1749653136,1.0,1.9006195068359375,0.0,0.0,0.0,0.00045490264892578125
1749653137,0.9,1.8884201049804688,0.0,0.0,0.0,0.0
1749653138,0.8,1.8881797790527344,0.0,0.0078125,0.0,9.059906005859375e-05
1749653139,0.8,1.8874588012695312,0.0,0.0,0.0,0.000171661376953125
1749653140,0.9,1.8872184753417969,0.0,0.0,0.0,8.20159912109375e-05
1749653141,0.9,1.8724212646484375,0.0,0.0,0.0,0.0006618499755859375
1749653142,0.9,1.8721809387207031,0.0,0.0,0.0,0.0
1749653143,1.0,1.8719367980957031,0.0,0.0,0.0,5.7220458984375e-05
1749653145,0.9,1.8685150146484375,0.0,0.3017578125,0.0,0.0
1749653146,0.9,1.8646583557128906,0.0,7.349609375,0.0,0.00046825408935546875
1749653147,1.1,1.8641777038574219,0.0,0.0,0.0,0.00026226043701171875
1749653148,0.9,1.8636970520019531,0.0,0.0,0.0,0.00011444091796875
1749653149,1.2,1.8676719665527344,0.0,141.0234375,0.0,0.0039825439453125
1749653150,0.7,1.8671913146972656,0.0,0.0,8.58306884765625e-05,8.58306884765625e-05
1749653151,0.8,1.8667068481445312,0.0,0.0,0.0,0.000476837158203125
1749653152,0.9,1.8654632568359375,0.0,0.0,0.000171661376953125,0.000171661376953125
1749653153,0.9,1.8654670715332031,0.0,0.0,0.0,0.0001850128173828125
1749653154,0.8,1.8654632568359375,0.0,0.0,0.0,0.00011444091796875
1749653155,0.9,1.8652191162109375,0.0,0.0,5.7220458984375e-05,0.000286102294921875
1749653156,0.9,1.8691253662109375,0.0,0.0,0.0,0.0005254745483398438
1749653157,0.8,1.8686447143554688,0.0,0.0,0.0,0.00026226043701171875
1749653158,0.9,1.8681640625,0.0,0.0,0.0,0.00023651123046875
1749653159,0.7,1.8679237365722656,0.0,0.0,0.0,0.0002288818359375
1749653160,1.0,1.8681640625,0.0,0.0,0.0,0.0002288818359375
1749653161,0.7,1.8594169616699219,0.0,0.0,0.0,0.0005092620849609375
1749653162,1.1,1.8612060546875,0.0,0.0,0.0,0.00034332275390625
1749653163,1.0,1.8586273193359375,0.0,0.0,0.0,0.00078582763671875
1749653164,0.9,1.8618011474609375,0.0,0.0,0.0,0.0005331039428710938
1749653165,0.9,1.8613204956054688,0.0,0.0,0.0,0.0001850128173828125
1749653166,0.8,1.86083984375,0.0,0.0,0.0,0.000545501708984375
1749653167,0.9,1.8603591918945312,0.0,0.0,0.0,5.7220458984375e-05
1749653168,1.0,1.8570365905761719,0.0,0.0,0.0,0.0
1749653169,1.1,1.8570327758789062,0.0,0.0,0.0,0.0
1749653170,0.7,1.8565521240234375,0.0,0.0,0.0,0.0003376007080078125
1749653171,0.9,1.8560676574707031,0.0,0.0,0.0,0.000457763671875
1749653173,0.8,1.8563117980957031,0.0,0.0,0.0,0.0002994537353515625
1749653174,0.9,1.8558311462402344,0.0,0.0,0.0,5.7220458984375e-05
1749653175,0.8,1.8548583984375,0.0,3.7431640625,0.0,5.7220458984375e-05
1749653176,0.9,1.8548622131347656,0.0,2.880859375,0.0,0.00046825408935546875
1749653177,0.8,1.8550949096679688,0.0,0.0,0.0,0.00026226043701171875
1749653178,1.4,1.8546142578125,0.0,0.0,0.0,5.7220458984375e-05
1749653179,0.9,1.8541336059570312,0.0,0.0,0.0,0.0016584396362304688
1749653180,0.9,1.8534049987792969,0.0,0.0,0.0,0.0020961761474609375
1749653181,0.8,1.8526802062988281,0.0,0.046875,0.0,0.0003376007080078125
1749653182,0.8,1.8524398803710938,0.0,0.0,0.0,0.00014781951904296875
1749653183,1.0,1.8521957397460938,0.0,0.0,0.0,5.7220458984375e-05
1749653184,0.7,1.8519554138183594,0.0,0.0,0.0,0.0023212432861328125
1749653185,0.8,1.8473396301269531,0.0,0.0,0.0,0.0006399154663085938
1749653186,0.9,1.8473358154296875,0.0,0.0,0.0,0.0016851425170898438
1749653187,0.8,1.8470954895019531,0.0,0.0390625,0.0,0.0027627944946289062
1749653188,0.9,1.8466110229492188,0.0,0.0,0.0,0.000171661376953125
1749653189,0.9,1.84613037109375,0.0,0.0,0.0,0.0003681182861328125
1749653190,0.9,1.8458900451660156,0.0,0.0,0.0,0.000171661376953125
