Time,CPU_Total,Memory_Used_GB,Disk_Read_MB,Disk_Write_MB,Net_Sent_MB,Net_Recv_MB
1749675138,22.8,1.3260269165039062,8.046875,0.0,0.0,5.7220458984375e-05
1749675139,3.0,1.3558197021484375,0.6875,0.0,0.0,0.0005388259887695312
1749675141,0.7,1.3537025451660156,0.0,0.0,0.0,0.0004119873046875
1749675142,1.0,1.3536911010742188,0.0,0.0078125,0.0,0.00042819976806640625
1749675143,0.9,1.353179931640625,0.0,0.03125,0.0,0.00011444091796875
1749675144,1.2,1.3632774353027344,0.015625,0.078125,0.00023746490478515625,0.00017833709716796875
1749675145,0.7,1.363037109375,0.0,0.0595703125,0.0,0.0002288818359375
1749675146,0.9,1.358612060546875,0.0,0.0,0.0,0.0005016326904296875
1749675147,1.0,1.357513427734375,0.0,0.0,0.0,5.7220458984375e-05
1749675148,0.9,1.3550834655761719,0.0,0.0,0.0,5.7220458984375e-05
1749675149,0.9,1.3548431396484375,0.0,0.03125,0.0,0.00040340423583984375
1749675150,1.1,1.3650627136230469,0.0,0.03125,0.0,0.000171661376953125
1749675151,1.0,1.3543319702148438,0.0,0.0,0.0,0.0003376007080078125
1749675152,0.9,1.3557968139648438,0.0,0.0,0.0,0.00011444091796875
1749675153,1.0,1.3555564880371094,0.0,0.0,8.58306884765625e-05,0.0002956390380859375
1749675154,1.0,1.3525161743164062,0.0,0.0,0.0,8.7738037109375e-05
1749675155,1.1,1.3517417907714844,0.0,0.0,0.0,0.000659942626953125
1749675156,1.1,1.351409912109375,0.0,0.0546875,8.58306884765625e-05,0.0006418228149414062
1749675157,1.5,1.3509292602539062,0.0,0.763671875,0.0,5.7220458984375e-05
1749675158,1.4,1.3509292602539062,0.0,0.123046875,0.000171661376953125,0.000286102294921875
1749675159,1.0,1.3504486083984375,0.0,0.0,5.7220458984375e-05,0.00011444091796875
1749675160,1.1,1.3489761352539062,0.0,0.0,0.0,0.0013027191162109375
1749675161,1.0,1.3499565124511719,0.0,0.0,0.0,0.002376556396484375
1749675162,1.0,1.3504371643066406,0.0,0.03125,0.0,0.00014781951904296875
1749675163,1.6,1.3504371643066406,0.0,0.0,0.0,0.00011444091796875
1749675164,0.8,1.3518447875976562,0.0,0.0,0.0,0.00011444091796875
1749675165,1.0,1.3517303466796875,0.0,0.0,0.0,0.00133514404296875
1749675166,1.3,1.3508453369140625,0.0,0.0,0.0,0.0015687942504882812
1749675167,1.0,1.3510856628417969,0.0,0.0,0.0,0.00020503997802734375
1749675169,0.9,1.3508453369140625,0.0,0.0390625,0.0,0.0001964569091796875
