Time,CPU_Total,Memory_Used_GB,Disk_Read_MB,Disk_Write_MB,Net_Sent_MB,Net_Recv_MB
1751468161,23.3,1.8448944091796875,7.5703125,0.0,0.0,0.0
1751468162,3.6,1.89239501953125,0.2734375,0.0,0.0,5.7220458984375e-05
1751468163,1.5,1.8957252502441406,0.0,0.0,0.0,0.0005121231079101562
1751468164,1.4,1.90350341796875,0.0,0.0,6.961822509765625e-05,0.000400543212890625
1751468165,2.3,1.9081916809082031,0.0,0.0,0.0,0.0002803802490234375
1751468166,1.0,1.9054183959960938,0.0,0.0859375,0.0,0.00044727325439453125
1751468167,0.7,1.9056549072265625,0.0,0.0,0.0,0.00011444091796875
1751468168,0.8,1.9046401977539062,0.0,0.0,0.0,5.7220458984375e-05
1751468169,1.0,1.9018669128417969,0.0,0.0,0.0,5.7220458984375e-05
1751468170,1.0,1.9021034240722656,0.0,0.009765625,0.0,0.001190185546875
1751468171,0.7,1.8986854553222656,0.0,0.0,6.961822509765625e-05,0.00244903564453125
1751468172,1.9,1.9135704040527344,52.6953125,0.494140625,0.0,0.0006780624389648438
1751468173,7.0,1.9758224487304688,51.9140625,0.2890625,0.0017118453979492188,0.007946014404296875
1751468175,14.2,1.9855613708496094,12.3125,0.837890625,0.0,0.000171661376953125
1751468176,9.3,1.9733352661132812,2.6953125,0.5029296875,0.0,0.0006704330444335938
1751468177,9.1,1.9922409057617188,5.953125,0.8671875,0.0,0.000171661376953125
1751468178,9.2,2.0216293334960938,0.265625,1.765625,0.0,0.00011444091796875
1751468180,9.1,2.1041946411132812,1.140625,8.4345703125,0.0,5.7220458984375e-05
1751468181,2.0,1.9332962036132812,0.0,0.21875,0.0,0.0003108978271484375
1751468182,1.1,1.931121826171875,0.0,0.0,0.0,0.000171661376953125
1751468183,2.4,1.9147911071777344,0.0,163.7421875,0.0,5.7220458984375e-05
1751468184,2.6,1.9181137084960938,0.0,0.0546875,6.961822509765625e-05,0.00034332275390625
1751468185,2.3,1.9161758422851562,0.0,0.0,0.0,0.0002231597900390625
1751468186,2.6,1.9263153076171875,0.0,0.0,0.0,0.00027561187744140625
1751468187,2.6,1.9677314758300781,0.0,0.0,0.0,0.0006666183471679688
1751468188,1.5,1.970672607421875,0.0,0.4140625,0.0,5.7220458984375e-05
1751468189,2.6,1.9729423522949219,19.171875,0.0,0.000980377197265625,0.001434326171875
1751468190,1.0,1.9814720153808594,0.0,0.03125,0.00054931640625,0.0029134750366210938
1751468191,1.1,1.9573631286621094,1.1484375,0.0,0.0006189346313476562,0.0004730224609375
1751468192,2.1,1.9627418518066406,0.0,0.0234375,0.0004634857177734375,0.0009021759033203125
1751468193,1.1,1.9444236755371094,0.0,0.0,0.0,0.0023317337036132812
1751468194,1.1,1.9569015502929688,0.0,0.78125,0.0,0.00034046173095703125
1751468195,1.4,1.9335861206054688,0.0,0.0,0.0,0.0013179779052734375
1751468196,1.5,1.9630470275878906,0.0,0.046875,0.0004634857177734375,0.002391815185546875
1751468197,1.4,1.9558677673339844,0.0,0.0,0.0,0.002529144287109375
1751468198,0.9,1.9610481262207031,0.0,0.0,0.0,0.000118255615234375
1751468199,1.9,1.9530906677246094,0.7109375,0.0,0.0,0.00011444091796875
1751468200,1.5,1.9646148681640625,0.0,9.85546875,0.0,0.0
