Time,PID,Name,CPU_Total,Memory_Used_GB,Disk_Read_MB,Disk_Write_MB
1751468431,1,systemd,0.0,0.0163116455078125,0.0,0.0
1751468431,2,kthreadd,0.0,0.0,0.0,0.0
1751468431,3,pool_workqueue_,0.0,0.0,0.0,0.0
1751468431,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1751468431,5,kworker/R-sync_,0.0,0.0,0.0,0.0
1751468432,6799,python3,13.6,0.2510223388671875,0.0,0.00390625
1751468432,3428,gnome-terminal-server,5.8,0.049983978271484375,0.0,0.0
1751468432,1819,gnome-shell,2.9,0.251312255859375,0.0,0.0
1751468432,4529,ibus-daemon,1.0,0.012866973876953125,0.0,0.0
1751468432,1,systemd,0.0,0.0163116455078125,0.0,0.0
1751468433,6799,python3,9.7,0.25783538818359375,0.0,0.0
1751468433,1819,gnome-shell,3.9,0.251312255859375,0.0,0.0
1751468433,3428,gnome-terminal-server,2.9,0.049983978271484375,0.0,0.0
1751468433,91,kworker/u48:2-events_unbound,1.0,0.0,0.0,0.0
1751468433,95,kworker/u48:6-gfx_0.1.0,1.0,0.0,0.0,0.0
1751468434,6799,python3,11.6,0.25832366943359375,0.0,0.0
1751468434,1819,gnome-shell,1.9,0.251312255859375,0.0,0.0
1751468434,3889,firefox,1.0,0.5047950744628906,0.0,0.0
1751468434,1,systemd,0.0,0.0163116455078125,0.0,0.0
1751468434,2,kthreadd,0.0,0.0,0.0,0.0
1751468435,6799,python3,9.7,0.25844573974609375,0.0,0.0
1751468435,1,systemd,0.0,0.0163116455078125,0.0,0.0
1751468435,2,kthreadd,0.0,0.0,0.0,0.0
1751468435,3,pool_workqueue_,0.0,0.0,0.0,0.0
1751468435,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1751468436,6799,python3,11.6,0.2480926513671875,0.0,0.0
1751468436,1,systemd,0.0,0.0163116455078125,0.0,0.0
1751468436,2,kthreadd,0.0,0.0,0.0,0.0
1751468436,3,pool_workqueue_,0.0,0.0,0.0,0.0
1751468436,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1751468437,6799,python3,9.7,0.25872039794921875,0.0,0.0
1751468437,4172,Isolated Web Co,1.0,0.5234222412109375,0.0,0.0
1751468437,1,systemd,0.0,0.0163116455078125,0.0,0.0
1751468437,2,kthreadd,0.0,0.0,0.0,0.0
1751468437,3,pool_workqueue_,0.0,0.0,0.0,0.0
1751468438,6799,python3,8.7,0.25872039794921875,0.0,0.015625
1751468438,1819,gnome-shell,1.0,0.251312255859375,0.0,0.0
1751468438,1,systemd,0.0,0.0163116455078125,0.0,0.0
1751468438,2,kthreadd,0.0,0.0,0.0,0.0
1751468438,3,pool_workqueue_,0.0,0.0,0.0,0.0
1751468439,6799,python3,9.7,0.25872039794921875,0.0,0.0
1751468439,1,systemd,0.0,0.0163116455078125,0.0,0.0
1751468439,2,kthreadd,0.0,0.0,0.0,0.0
1751468439,3,pool_workqueue_,0.0,0.0,0.0,0.0
1751468439,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1751468440,6799,python3,10.7,0.2481536865234375,0.0,0.0
1751468440,1,systemd,0.0,0.0163116455078125,0.0,0.0
1751468440,2,kthreadd,0.0,0.0,0.0,0.0
1751468440,3,pool_workqueue_,0.0,0.0,0.0,0.0
1751468440,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1751468441,6799,python3,9.7,0.25884246826171875,0.0,0.0
1751468441,1,systemd,0.0,0.0163116455078125,0.0,0.0
1751468441,2,kthreadd,0.0,0.0,0.0,0.0
1751468441,3,pool_workqueue_,0.0,0.0,0.0,0.0
1751468441,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1751468442,6799,python3,8.7,0.26274871826171875,0.0,0.0
1751468442,95,kworker/u48:6-writeback,1.0,0.0,0.0,0.0
1751468442,1819,gnome-shell,1.0,0.251312255859375,0.0,0.0
1751468442,1,systemd,0.0,0.0163116455078125,0.0,0.0
1751468442,2,kthreadd,0.0,0.0,0.0,0.0
1751468443,6799,python3,12.6,0.26311492919921875,0.0,0.0
1751468443,3428,gnome-terminal-server,5.8,0.049983978271484375,0.0,0.0
1751468443,1819,gnome-shell,3.9,0.251312255859375,0.0,0.0
1751468443,1,systemd,0.0,0.0163116455078125,0.0,0.0
1751468443,2,kthreadd,0.0,0.0,0.0,0.0
1751468444,6799,python3,10.7,0.26323699951171875,0.0,0.01953125
1751468444,1819,gnome-shell,1.9,0.251312255859375,0.0,0.0
1751468444,91,kworker/u48:2-dm_vblank_control_workq,1.0,0.0,0.0,0.0
1751468444,92,kworker/u48:3-gfx_0.0.0,1.0,0.0,0.0,0.0
1751468444,3428,gnome-terminal-server,1.0,0.049983978271484375,0.0,0.0
1751468445,6799,python3,8.7,0.26323699951171875,0.0,0.00390625
1751468445,1,systemd,0.0,0.0163116455078125,0.0,0.0
1751468445,2,kthreadd,0.0,0.0,0.0,0.0
1751468445,3,pool_workqueue_,0.0,0.0,0.0,0.0
1751468445,4,kworker/R-rcu_g,0.0,0.0,0.0,0.0
1751468446,6799,python3,10.7,0.26323699951171875,0.0,0.0
1751468446,1819,gnome-shell,1.0,0.251312255859375,0.0,0.0
