Time,CPU_Total,Memory_Used_GB,Disk_Read_MB,Disk_Write_MB,Net_Sent_MB,Net_Recv_MB
1751466252,23.6,3.0343399047851562,7.0625,0.0,0.0,5.7220458984375e-05
1751466254,4.1,3.0802879333496094,0.2734375,0.0,0.0,0.00039768218994140625
1751466255,1.1,3.092700958251953,0.0,0.0,0.0,0.0005693435668945312
1751466256,2.0,3.106548309326172,0.0,0.0,0.0,0.0004987716674804688
1751466257,2.1,3.1004867553710938,0.0,0.0,0.0,0.000171661376953125
1751466258,2.1,3.1027374267578125,0.0,0.0859375,0.0,0.00011444091796875
1751466259,3.2,3.1007232666015625,0.0,0.015625,0.0,5.7220458984375e-05
1751466260,1.7,3.1441497802734375,0.0,0.0,0.004431724548339844,0.04183197021484375
1751466261,1.0,3.1470794677734375,0.0,0.0,0.0007982254028320312,0.00038242340087890625
1751466262,1.0,3.134357452392578,0.0,0.0,8.58306884765625e-05,8.58306884765625e-05
1751466263,0.8,3.1336212158203125,0.0,0.0,7.05718994140625e-05,5.7220458984375e-05
1751466264,1.0,3.13311767578125,0.0,0.03125,0.0021533966064453125,0.014827728271484375
1751466265,1.9,3.1302528381347656,0.03125,9.6884765625,0.1403026580810547,52.911943435668945
1751466266,2.2,3.1286468505859375,0.0,151.234375,0.08235740661621094,31.154775619506836
1751466267,8.3,3.122028350830078,9.75,14.2900390625,0.011859893798828125,2.0052976608276367
1751466268,9.2,3.120044708251953,6.4453125,10.28515625,0.0011119842529296875,0.000209808349609375
1751466269,9.1,3.1261558532714844,0.765625,31.7822265625,0.0005559921264648438,0.00034332275390625
1751466270,9.4,3.126117706298828,0.2421875,52.69921875,0.0,8.20159912109375e-05
1751466271,12.7,3.1747055053710938,22.796875,631.376953125,0.0005559921264648438,0.001163482666015625
1751466272,11.5,3.228534698486328,9.9765625,1.640625,0.00016307830810546875,0.0019636154174804688
1751466273,12.1,3.286388397216797,0.0,0.0,0.00014400482177734375,0.0004138946533203125
1751466274,12.0,3.2589111328125,2.9609375,8.6005859375,0.0033664703369140625,0.0016231536865234375
1751466275,12.1,3.172252655029297,8.7734375,2.48046875,0.0005559921264648438,0.000408172607421875
1751466276,10.7,3.2383651733398438,9.0078125,0.03125,0.0,0.00014781951904296875
1751466277,12.2,3.2207984924316406,28.953125,7.5400390625,0.0003604888916015625,0.0009593963623046875
1751466278,10.6,3.210723876953125,12.34375,7.5068359375,0.000911712646484375,0.0036687850952148438
1751466279,10.5,3.1606674194335938,10.1328125,1.5390625,0.0004634857177734375,0.0004949569702148438
1751466280,10.5,3.1979522705078125,9.5390625,9.677734375,0.0,0.0002651214599609375
1751466281,2.0,3.1917953491210938,0.8203125,0.7880859375,0.0004634857177734375,0.00304412841796875
1751466283,1.0,3.184551239013672,0.0,0.818359375,0.0,0.000171661376953125
1751466284,1.5,3.1796531677246094,0.0,0.015625,0.0,0.0005121231079101562
1751466285,1.5,3.1833114624023438,0.0,0.0,0.0005559921264648438,0.000171661376953125
1751466286,1.3,3.1731529235839844,0.0,0.0859375,0.005742073059082031,0.008794784545898438
1751466287,1.4,3.1709823608398438,0.0,0.0,0.0,0.0002899169921875
1751466288,1.5,3.16314697265625,0.0,0.0390625,0.0058536529541015625,0.0013332366943359375
1751466289,1.4,3.1609725952148438,0.0,0.0,0.0,0.00025463104248046875
1751466290,1.2,3.155651092529297,0.0,0.0,0.000133514404296875,0.00034332275390625
1751466291,1.1,3.1604461669921875,0.0,1.140625,7.05718994140625e-05,0.0010547637939453125
1751466292,1.2,3.1592445373535156,0.0,0.0390625,0.0,0.00146484375
1751466293,1.1,3.154735565185547,0.0,0.0,7.05718994140625e-05,8.20159912109375e-05
1751466294,2.6,3.151348114013672,0.703125,0.078125,0.0004634857177734375,0.0030536651611328125
1751466295,1.1,3.142650604248047,0.0,0.0,0.0,0.0003948211669921875
