Time,PID,Name,CPU_Total,Memory_Used_GB,Disk_Read_MB,Disk_Write_MB
1751468161,3889,firefox,0.0,0.4652366638183594,63.2890625,50.03515625
1751468161,4172,Isolated Web Co,0.0,0.3407859802246094,3.99609375,0.0
1751468161,1819,gnome-shell,0.0,0.24877548217773438,267.2265625,36.2578125
1751468161,4500,python3,0.0,0.20707321166992188,50.38671875,0.03125
1751468161,4174,Isolated Web Co,0.0,0.197265625,0.0,0.0
1751468162,3889,firefox,0.0,0.4652366638183594,0.0,0.0
1751468162,4172,Isolated Web Co,0.0,0.3407859802246094,0.0,0.0
1751468162,4500,python3,16.5,0.2515830993652344,0.12890625,0.0
1751468162,1819,gnome-shell,2.9,0.24938583374023438,0.0078125,0.0
1751468162,4174,Isolated Web Co,0.0,0.197265625,0.0,0.0
1751468163,3889,firefox,0.0,0.4652366638183594,0.0,0.0
1751468163,4172,Isolated Web Co,0.0,0.3407859802246094,0.0,0.0
1751468163,4500,python3,9.7,0.25797271728515625,0.0,0.0
1751468163,1819,gnome-shell,3.9,0.24938583374023438,0.0,0.0
1751468163,4174,Isolated Web Co,0.0,0.197265625,0.0,0.0
1751468164,3889,firefox,0.0,0.4652366638183594,0.0,0.0
1751468164,4172,Isolated Web Co,0.0,0.34051513671875,0.0,0.0
1751468164,4500,python3,9.7,0.26198577880859375,0.0,0.0
1751468164,1819,gnome-shell,1.9,0.24938583374023438,0.0,0.0
1751468164,4174,Isolated Web Co,0.0,0.197265625,0.0,0.0
1751468165,3889,firefox,0.0,0.4652366638183594,0.0,0.0
1751468165,4172,Isolated Web Co,1.0,0.34051513671875,0.0,0.0
1751468165,4500,python3,11.6,0.26259613037109375,0.0,0.0
1751468165,1819,gnome-shell,3.9,0.24938583374023438,0.0,0.0
1751468165,4174,Isolated Web Co,0.0,0.197265625,0.0,0.0
1751468166,3889,firefox,0.0,0.4652366638183594,0.0,0.0
1751468166,4172,Isolated Web Co,0.0,0.34051513671875,0.0,0.0
