Time,CPU_Total,Memory_Used_GB,Disk_Read_MB,Disk_Write_MB,Net_Sent_MB,Net_Recv_MB
1752007578,23.8,1.839447021484375,0.0,0.0,0.0,0.0
1752007579,2.3,1.8849067687988281,0.0,0.28125,0.0,0.0004138946533203125
1752007580,1.0,1.9008560180664062,0.0,0.0,0.0,0.000171661376953125
1752007581,1.8,1.9115257263183594,0.0,0.0,0.0,0.0002288818359375
1752007582,1.1,1.91766357421875,0.0,0.0,7.152557373046875e-05,0.0003643035888671875
1752007583,0.9,1.9195785522460938,0.0,1.6259765625,0.0,0.0006570816040039062
1752007584,30.8,2.4009628295898438,0.0,0.0244140625,0.0,5.7220458984375e-05
1752007589,98.0,5.6945343017578125,0.0,16.4873046875,0.004092216491699219,0.005316734313964844
1752007595,100.0,4.072269439697266,0.0,0.9609375,0.0,0.0006570816040039062
1752007598,41.4,3.9775962829589844,0.0,59.1376953125,0.0,0.0026082992553710938
1752007602,56.1,3.5528297424316406,0.0,0.078125,0.0,0.004669189453125
1752007603,45.6,3.8107566833496094,0.0,0.33984375,0.0,0.0010852813720703125
1752007608,46.4,5.443470001220703,0.0,0.546875,0.0,0.0034704208374023438
1752007612,40.6,4.0050201416015625,0.0,0.0234375,7.152557373046875e-05,0.00144195556640625
1752007614,34.0,3.95513916015625,0.0,3.1259765625,5.7220458984375e-05,0.0005397796630859375
1752007620,56.8,5.319461822509766,0.0,65.451171875,0.0004787445068359375,0.0020847320556640625
1752007623,31.9,4.076457977294922,0.0,0.251953125,8.58306884765625e-05,0.0008134841918945312
1752007626,22.5,4.0095367431640625,0.0,103.8125,0.0036420822143554688,0.0019168853759765625
1752007630,68.6,4.553668975830078,0.0,131.4765625,0.0,0.0052490234375
1752007633,60.5,5.803798675537109,0.0,0.666015625,0.012594223022460938,0.012714385986328125
1752007636,25.5,4.345394134521484,0.0,105.9765625,0.0,0.0005598068237304688
1752007640,20.9,3.5847129821777344,0.0,1.2109375,0.0,0.0006160736083984375
1752007643,17.1,4.053863525390625,0.0,58.91015625,0.0,0.001071929931640625
1752007646,15.3,4.278377532958984,0.0,103.8876953125,0.0,0.0002288818359375
1752007649,9.3,4.340263366699219,0.0,0.0,0.0,0.00116729736328125
1752007651,9.6,4.533302307128906,0.0,121.71875,0.0,0.0023250579833984375
1752007653,4.8,3.283008575439453,0.0,0.0,0.0,0.000919342041015625
1752007654,0.7,3.2815933227539062,0.0,0.0,0.0,0.000286102294921875
1752007655,1.0,3.276275634765625,0.0,0.0,7.152557373046875e-05,0.00030803680419921875
1752007656,0.8,3.260417938232422,0.0,106.96875,0.0,0.00034332275390625
1752007657,0.8,3.2577743530273438,0.0,0.0546875,0.0,0.00034046173095703125
1752007658,0.8,3.2519302368164062,0.0,0.0,0.0,0.0002994537353515625
1752007659,0.8,3.2495269775390625,0.0,0.0,0.0,5.7220458984375e-05
1752007660,1.0,3.245391845703125,0.0,0.0,0.0,0.0025482177734375
1752007661,0.9,3.243694305419922,0.0,115.046875,0.0,0.006628990173339844
1752007662,0.8,3.242645263671875,0.0,0.0390625,0.0,0.0026922225952148438
1752007663,0.8,3.2359542846679688,0.0,0.0,0.0,0.0014505386352539062
1752007664,1.0,3.234272003173828,0.0,0.0,0.0,0.00209808349609375
1752007665,0.8,3.231525421142578,0.0,0.0,0.0,0.000171661376953125
1752007666,0.8,3.2298431396484375,0.0,54.5546875,0.0,0.0023632049560546875
1752007667,1.0,3.2249755859375,0.0,0.0,0.0,0.00022602081298828125
1752007669,0.8,3.2230491638183594,0.0,0.0390625,0.0,0.0001850128173828125
1752007670,0.8,3.2213668823242188,0.0,0.0,0.0,0.00011444091796875
1752007671,0.7,3.218597412109375,0.0,0.0,0.0,0.0001964569091796875
1752007672,1.3,3.2289962768554688,0.0,85.40625,0.0,0.00020503997802734375
1752007673,1.6,3.2145919799804688,0.0,0.0,0.0,0.0012912750244140625
1752007674,1.1,3.2181854248046875,0.0,0.470703125,0.0,0.00011444091796875
1752007675,1.7,3.2116355895996094,0.0,0.0390625,0.0,5.7220458984375e-05
1752007676,3.3,3.2475929260253906,0.0,0.0,0.0,0.00046539306640625
1752007677,1.9,3.2410621643066406,0.0,19.6484375,0.0,0.0006036758422851562
1752007678,1.0,3.2367324829101562,0.0,0.0,0.0,0.0002269744873046875
1752007679,1.7,3.212371826171875,0.0,0.0,0.0003261566162109375,0.0008306503295898438
1752007680,1.2,3.219493865966797,0.0,0.0,0.0,5.7220458984375e-05
1752007681,1.1,3.202392578125,0.0,0.0390625,7.152557373046875e-05,0.00113677978515625
1752007682,1.2,3.2076148986816406,0.0,0.0234375,0.0,0.0020990371704101562
1752007683,1.3,3.18035888671875,0.0,0.0,0.0,0.0003376007080078125
1752007684,1.1,3.1879615783691406,0.0,0.28125,5.7220458984375e-05,0.000171661376953125
1752007685,1.5,3.1791610717773438,0.0,0.0,0.0,0.0020694732666015625
1752007686,2.2,3.1772804260253906,0.0,0.0,0.0,0.000324249267578125
